,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/latent_dim,config/transform_funcs,logdir
794,0.5697058823529411,0.5697058823529411,0.01621919491642617,0.5630366730687266,0.01800330555840073,0.5630366730687266,0.01800330555840073,0.4823529411764706,0.0,0.4842735029501887,0.0,0.4842735029501886,0.0,0.5558823529411765,0.0,0.4814065908401878,0.0,0.48140659084018783,0.0,1699934243,True,1,8432abe8,2023-11-14_03-57-23,29.301939487457275,29.301939487457275,319375,59d6454cd9f4,172.17.0.2,29.301939487457275,1,,68,"(1, 2, 10, 11)",8432abe8
795,0.6264705882352941,0.6258823529411763,0.01189632259773921,0.6182348170871206,0.012657819032779294,0.6182348170871206,0.012657819032779257,0.5735294117647058,0.0,0.5699198759249564,0.0,0.5699198759249563,0.0,0.6264705882352941,0.0,0.5614673631161,0.0,0.5614673631161,0.0,1699934255,True,1,f67b4c96,2023-11-14_03-57-35,23.650338411331177,23.650338411331177,332610,59d6454cd9f4,172.17.0.2,23.650338411331177,1,,74,"(0, 1, 5, 9)",f67b4c96
796,0.7126470588235294,0.7126470588235294,0.010444282885038052,0.7089068316697548,0.010732933675397462,0.7089068316697548,0.010732933675397453,0.611764705882353,0.0,0.603039279294883,0.0,0.603039279294883,0.0,0.6735294117647059,0.0,0.6225955807442143,0.0,0.6225955807442144,0.0,1699934276,False,1,2639adfe,2023-11-14_03-57-56,34.97943735122681,34.97943735122681,325319,59d6454cd9f4,172.17.0.2,34.97943735122681,1,,77,"(3, 5, 9, 10)",2639adfe
797,0.6064705882352942,0.6064705882352942,0.006681068642117983,0.6061385654932201,0.006386367611229263,0.6061385654932201,0.006386367611229256,0.5764705882352941,0.0,0.5787922449980083,0.0,0.5787922449980084,0.0,0.5852941176470589,0.0,0.5565409977506859,0.0,0.5565409977506859,0.0,1699934278,True,1,2f7ba7f5,2023-11-14_03-57-58,35.26702904701233,35.26702904701233,322990,59d6454cd9f4,172.17.0.2,35.26702904701233,1,,47,"(4, 6, 10)",2f7ba7f5
798,0.6600000000000001,0.6600000000000001,0.00913186746838824,0.659812791306024,0.009781918891310304,0.6598127913060239,0.009781918891310248,0.611764705882353,0.0,0.6116624455447079,0.0,0.6116624455447079,0.0,0.6323529411764706,0.0,0.6046769203576566,0.0,0.6046769203576566,0.0,1699934278,True,1,3b0d0409,2023-11-14_03-57-58,34.16713547706604,34.16713547706604,319375,59d6454cd9f4,172.17.0.2,34.16713547706604,1,,83,"(6, 8, 11)",3b0d0409
799,0.5676470588235294,0.5655882352941176,0.01499999999999999,0.5553815241239305,0.01611675653451115,0.5553815241239305,0.01611675653451114,0.5235294117647059,0.0,0.522681532009982,0.0,0.5226815320099821,0.0,0.5676470588235294,0.0,0.48167845836165435,0.0,0.4816784583616544,0.0,1699934276,True,1,99a4158e,2023-11-14_03-57-56,20.63878035545349,20.63878035545349,332610,59d6454cd9f4,172.17.0.2,20.63878035545349,1,,41,"(2, 3, 7)",99a4158e
800,0.658235294117647,0.658235294117647,0.016731132533326924,0.6574238937182435,0.01630177993173252,0.6574238937182436,0.016301779931732548,0.6,0.0,0.5945063210000903,0.0,0.5945063210000902,0.0,0.6411764705882353,0.0,0.6132346831767557,0.0,0.6132346831767556,0.0,1699934290,True,1,840454a8,2023-11-14_03-58-10,34.35564565658569,34.35564565658569,322601,59d6454cd9f4,172.17.0.2,34.35564565658569,1,,71,"(4, 5, 7, 9)",840454a8
801,0.7152941176470587,0.7152941176470587,0.012254509797646855,0.7089889031363715,0.012627851594929915,0.7089889031363715,0.0126278515949299,0.7,0.0,0.697402090357863,0.0,0.6974020903578628,0.0,0.7029411764705882,0.0,0.6462118531755083,0.0,0.6462118531755084,0.0,1699934318,False,1,cb995f9c,2023-11-14_03-58-38,41.85172724723816,41.85172724723816,332610,59d6454cd9f4,172.17.0.2,41.85172724723816,1,,86,"(0, 1, 9, 11)",cb995f9c
802,0.7355882352941177,0.7355882352941177,0.011425249764444138,0.7348019899056815,0.01159445333106958,0.7348019899056814,0.011594453331069534,0.7323529411764705,0.0,0.7338251827687647,0.0,0.7338251827687647,0.0,0.6970588235294117,0.0,0.673069660804211,0.0,0.673069660804211,0.0,1699934326,False,1,e541b110,2023-11-14_03-58-46,50.26094079017639,50.26094079017639,325319,59d6454cd9f4,172.17.0.2,50.26094079017639,1,,45,"(0, 5, 10, 11)",e541b110
803,0.6323529411764706,0.6064705882352941,0.01816875907233,0.6053636563314745,0.018348451806561306,0.6053636563314744,0.018348451806561288,0.5,0.0,0.49147482696593825,0.0,0.49147482696593825,0.0,0.6323529411764706,0.0,0.5991976300594499,0.0,0.5991976300594499,0.0,1699934293,True,1,a05e70d8,2023-11-14_03-58-13,14.944939136505127,14.944939136505127,319375,59d6454cd9f4,172.17.0.2,14.944939136505127,1,,38,"(2, 6, 7)",a05e70d8
